nome_uo,descricao_uo
SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO,SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO - SEPLAG
SECRETARIA DE ESTADO DE SEGURANCA PUBLICA,SECRETARIA DE ESTADO DE SEGURANCA PUBLICA - SESP
SECRETARIA DE ESTADO DE TRABALHO E DESENVOLVIMENTO SOCIAL,SECRETARIA DE ESTADO DE TRABALHO E DESENVOLVIMENTO SOCIAL - SEDESE
Secretaria de Estado de Trabalho e Desenvolvimento Social,SECRETARIA DE ESTADO DE TRABALHO E DESENVOLVIMENTO SOCIAL - SEDESE
SECRETARIA DE ESTADO DE TRABALHO E EMPREGO,SECRETARIA DE ESTADO DE TRABALHO E EMPREGO - SETE
SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PUBLICAS,SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PUBLICAS - SETOP
SECRETARIA DE ESTADO DE TURISMO,SECRETARIA DE ESTADO DE TURISMO - SETUR
SECRETARIA DE ESTADO EXTRAORDINARIA DE DESENVOLVIMENTO INTEGRADO E FORUNS REGIONAIS,SECRETARIA DE ESTADO EXTRAORDINARIA DE DESENVOLVIMENTO INTEGRADO E FORUNS REGIONAIS - SEEDIF
SECRETARIA ESTADO MEIO AMBIENTE E DESENV. SUSTENTAVEL,SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL - SEMAD
TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS,TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS - TCEMG
UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UNIVERSIDADE DO ESTADO DE MINAS GERAIS - UEMG
UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIVERSIDADE ESTADUAL DE MONTES CLAROS - UNIMONTES
